Source Names,ISO Names,% Match
Kenya,Kenya,100
United Kingdom,United Kingdom of Great Britain and Northern Ireland,90
United States,United States of America,90
South Africa,South Africa,100
Nigeria,Nigeria,100
India,India,100
Spain,Spain,100
Croatia,Croatia,100
Netherlands,Netherlands,100
Israel,Israel,100
Sweden,Sweden,100
Chile,Chile,100
Australia,Australia,100
Greece,Greece,100
Poland,Poland,100
Belgium,Belgium,100
Argentina,Argentina,100
Germany,Germany,100
Russian Federation,Russian Federation,100
Indonesia,Indonesia,100
Ireland,Ireland,100
France,France,100
Ukraine,Ukraine,100
Denmark,Denmark,100
Dominican Republic,Dominican Republic,100
China,China,100
Latvia,Latvia,100
Algeria,Algeria,100
Colombia,Colombia,100
Japan,Japan,100
Finland,Finland,100
Romania,Romania,100
Brazil,Brazil,100
Bulgaria,Bulgaria,100
"Iran, Islamic Republic of...",Iran (Islamic Republic of),100
Nepal,Nepal,100
Bangladesh,Bangladesh,100
Pakistan,Pakistan,100
Canada,Canada,100
Jordan,Jordan,100
Portugal,Portugal,100
Italy,Italy,100
New Zealand,New Zealand,100
Turkey,Turkey,100
Czech Republic,Central African Republic,86
Viet Nam,Viet Nam,100
Austria,Austria,100
Egypt,Egypt,100
Malaysia,Malaysia,100
Mozambique,Mozambique,100
Thailand,Thailand,100
Slovakia,Slovakia,100
Lebanon,Lebanon,100
Mexico,Mexico,100
Hong Kong (S.A.R.),Hong Kong,90
Norway,Norway,100
Myanmar,Myanmar,100
Switzerland,Switzerland,100
South Korea,Korea (Democratic People's Republic of),86
Hungary,Hungary,100
Armenia,Armenia,100
Kazakhstan,Kazakhstan,100
United Arab Emirates,United Arab Emirates,100
Singapore,Singapore,100
Qatar,Qatar,100
Bosnia and Herzegovina,Bosnia and Herzegovina,100
Bahrain,Bahrain,100
Sri Lanka,Sri Lanka,100
Cambodia,Cambodia,100
Serbia,Serbia,100
Philippines,Philippines,100
Peru,Peru,100
Botswana,Botswana,100
Paraguay,Paraguay,100
Georgia,Georgia,100
Uruguay,Uruguay,100
Belarus,Belarus,100
Lithuania,Lithuania,100
Afghanistan,Afghanistan,100
Estonia,Estonia,100
Malta,Malta,100
Costa Rica,Costa Rica,100
Ghana,Ghana,100
Taiwan,"Taiwan, Province of China",90
Morocco,Morocco,100
Albania,Albania,100
Saudi Arabia,Saudi Arabia,100
Slovenia,Slovenia,100
Uzbekistan,Uzbekistan,100
Republic of Korea,Korea (Republic of),95
El Salvador,El Salvador,100
Iceland,Iceland,100
"Venezuela, Bolivarian Republic of...",Venezuela (Bolivarian Republic of),100
Nicaragua,Nicaragua,100
Not provided,"Taiwan, Province of China",60
Tunisia,Tunisia,100
The former Yugoslav Republic of Macedonia,Macedonia (the former Yugoslav Republic of),95
"Micronesia, Federated States of...",Micronesia (Federated States of),100
Madagascar,Madagascar,100
Rwanda,Rwanda,100
Yemen,Yemen,100
Uganda,Uganda,100
United Republic of Tanzania,"Tanzania, United Republic of",95
Cameroon,Cameroon,100
Cuba,Cuba,100
Ethiopia,Ethiopia,100
Oman,Oman,100
Ecuador,Ecuador,100
Angola,Angola,100
Republic of Moldova,Moldova (Republic of),95
Honduras,Honduras,100
Azerbaijan,Azerbaijan,100
Cyprus,Cyprus,100
Bhutan,Bhutan,100
Guatemala,Guatemala,100
Syrian Arab Republic,Syrian Arab Republic,100
Kuwait,Kuwait,100
Luxembourg,Luxembourg,100
Jamaica,Jamaica,100
Zimbabwe,Zimbabwe,100
San Marino,San Marino,100
Fiji,Fiji,100
Liechtenstein,Liechtenstein,100
Burundi,Burundi,100
Bolivia,Bolivia (Plurinational State of),90
Mauritius,Mauritius,100
Somalia,Somalia,100
Montenegro,Montenegro,100
Mongolia,Mongolia,100
Sudan,Sudan,100
Maldives,Maldives,100
Turkmenistan,Turkmenistan,100
Panama,Panama,100
Barbados,Barbados,100
Lesotho,Lesotho,100
Namibia,Namibia,100
Gabon,Gabon,100
Kyrgyzstan,Kyrgyzstan,100
Swaziland,Swaziland,100
Antigua and Barbuda,Antigua and Barbuda,100
Marshall Islands,Marshall Islands,100
Trinidad and Tobago,Trinidad and Tobago,100
Senegal,Senegal,100
Iraq,Iraq,100
Haiti,Haiti,100
Malawi,Malawi,100
Benin,Benin,100
Libyan Arab Jamahiriya,Libya,90
Tajikistan,Tajikistan,100
Democratic Republic of the Congo,Congo (Democratic Republic of the),95
Andorra,Andorra,100
Guinea,Guinea,100
Côte d'Ivoire,Côte d'Ivoire,100
Bahamas,Bahamas,100
Central African Republic,Central African Republic,100
Monaco,Monaco,100
Gambia,Gambia,100
Sierra Leone,Sierra Leone,100
Togo,Togo,100
Palau,Palau,100
Zambia,Zambia,100
Grenada,Grenada,100
Burkina Faso,Burkina Faso,100
Belize,Belize,100
"Congo, Republic of the...",Congo,90
Suriname,Suriname,100
Timor-Leste,Timor-Leste,100
Dominica,Dominica,100
Solomon Islands,Solomon Islands,100
Saint Lucia,Saint Lucia,100
Niger,Niger,100
Guyana,Guyana,100
Nauru,Nauru,100
Mauritania,Mauritania,100
Mali,Mali,100
Liberia,Liberia,100
Brunei Darussalam,Brunei Darussalam,100
North Korea,Korea (Democratic People's Republic of),86
Cape Verde,Cabo Verde,80
Eritrea,Eritrea,100
Democratic People's Republic of Korea,Korea (Democratic People's Republic of),95
Djibouti,Djibouti,100
Guinea-Bissau,Guinea-Bissau,100
